Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Ford,Focus ST,2017,premium unleaded,252,4,MANUAL,front wheel drive,4,Factory Tuner,Compact,4dr Hatchback,31,22,5657,24775
Nissan,Rogue,2016,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,33,26,2009,24780
Volkswagen,Golf GTI,2015,premium unleaded,210,4,MANUAL,front wheel drive,2,Performance,Compact,2dr Hatchback,34,25,873,24785
Mazda,3,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Performance,Compact,Sedan,39,28,586,24795
FIAT,500L,2016,premium unleaded,160,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,Wagon,30,22,819,24795
Volkswagen,Beetle,2015,diesel,150,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,41,31,873,24795
Volkswagen,GTI,2013,premium unleaded,200,4,MANUAL,front wheel drive,4,Performance,Compact,4dr Hatchback,31,21,873,24795
Volkswagen,GTI,2013,premium unleaded,200,4,MANUAL,front wheel drive,4,Performance,Compact,4dr Hatchback,31,21,873,24795
Subaru,XV Crosstrek,2015,regular unleaded,148,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,34,26,640,24795
Honda,Civic,2017,regular unleaded,174,4,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,42,32,2202,24800
Honda,Civic,2017,regular unleaded,174,4,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,42,32,2202,24800
Toyota,Tacoma,2015,regular unleaded,159,4,MANUAL,four wheel drive,4,Mid-Size Pickup,Compact,Extended Cab Pickup,20,18,2031,24800
Mazda,CX-5,2014,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,32,25,586,24815
Ford,Transit Connect,2016,regular unleaded,169,4,AUTOMATIC,front wheel drive,4,Compact Mini Van,Compact,Passenger Minivan,28,20,5657,24825
Ford,Transit Connect,2016,regular unleaded,169,4,AUTOMATIC,front wheel drive,4,Compact Mini Van,Compact,Passenger Minivan,28,20,5657,24825
Nissan,Juke,2015,premium unleaded,188,4,MANUAL,front wheel drive,4,Performance,Compact,4dr Hatchback,34,28,2009,24830
Nissan,Juke,2016,premium unleaded,188,4,MANUAL,front wheel drive,4,Performance,Compact,4dr Hatchback,34,28,2009,24830
Nissan,Juke,2017,premium unleaded,188,4,MANUAL,front wheel drive,4,Performance,Compact,4dr Hatchback,33,27,2009,24830
Honda,HR-V,2017,regular unleaded,141,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,34,28,2202,24840
Volkswagen,GLI,2012,premium unleaded,200,4,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,32,24,873,24845
Volkswagen,GLI,2012,premium unleaded,200,4,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,32,24,873,24845
Suzuki,Kizashi,2011,regular unleaded,185,4,MANUAL,front wheel drive,4,Midsize,Midsize,Sedan,29,20,481,24849
Nissan,Xterra,2013,regular unleaded,261,6,AUTOMATIC,rear wheel drive,4,SUV,Midsize,4dr SUV,22,16,2009,24850
Dodge,Ram Pickup 1500,2010,flex-fuel,310,8,AUTOMATIC,rear wheel drive,2,Full-Size Pickup,Large,Regular Cab Pickup,19,14,1851,24855
Ford,Transit Connect,2015,regular unleaded,169,4,AUTOMATIC,front wheel drive,4,Cargo Van,Compact,Cargo Minivan,29,21,5657,24855
Ford,Transit Connect,2015,regular unleaded,169,4,AUTOMATIC,front wheel drive,4,Cargo Van,Compact,Cargo Minivan,29,21,5657,24855
Honda,Accord,2017,regular unleaded,185,4,AUTOMATIC,front wheel drive,2,Midsize,Midsize,Coupe,34,26,2202,24875
Volkswagen,Jetta SportWagen,2014,regular unleaded,170,5,AUTOMATIC,front wheel drive,4,Hatchback,Compact,Wagon,30,23,873,24885
Volkswagen,Jetta SportWagen,2014,regular unleaded,170,5,AUTOMATIC,front wheel drive,4,Hatchback,Compact,Wagon,30,23,873,24885
Volkswagen,Tiguan,2016,premium unleaded,200,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,26,21,873,24890
Mazda,3,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Performance,Compact,Sedan,39,28,586,24895
Mazda,6,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,38,26,586,24895
Mazda,CX-5,2016,regular unleaded,184,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,30,24,586,24895
Volkswagen,Golf,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,25,873,24895
Dodge,Journey,2016,regular unleaded,173,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,26,19,1851,24895
Dodge,Journey,2017,regular unleaded,173,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,25,19,1851,24895
Dodge,Nitro,2010,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Crossover,Midsize,4dr SUV,21,15,1851,24895
Subaru,Outback,2015,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,24895
Scion,FR-S,2015,premium unleaded,200,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,30,22,105,24900
Ford,Ranger,2010,regular unleaded,207,6,MANUAL,four wheel drive,4,Mid-Size Pickup,Compact,Extended Cab Pickup,19,15,5657,24905
Toyota,RAV4,2017,regular unleaded,176,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,30,23,2031,24910
Mazda,MX-5 Miata,2016,premium unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,34,27,586,24915
Chevrolet,Captiva Sport,2013,flex-fuel,180,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,28,20,1385,24940
Mazda,3,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Performance,Compact,4dr Hatchback,35,26,586,24945
Suzuki,Grand Vitara,2011,regular unleaded,166,4,AUTOMATIC,four wheel drive,4,Crossover,Compact,4dr SUV,23,19,481,24949
Volvo,C30,2012,premium unleaded,227,5,MANUAL,front wheel drive,2,Luxury,Compact,2dr Hatchback,29,21,870,24950
Nissan,Frontier,2017,regular unleaded,261,6,AUTOMATIC,rear wheel drive,4,Mid-Size Pickup,Compact,Crew Cab Pickup,23,16,2009,24950
Hyundai,Santa Fe Sport,2015,regular unleaded,190,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,20,1439,24950
Hyundai,Santa Fe Sport,2016,regular unleaded,190,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,20,1439,24950
Toyota,Tacoma,2017,regular unleaded,159,4,AUTOMATIC,rear wheel drive,4,Mid-Size Pickup,Compact,Crew Cab Pickup,23,19,2031,24950
Nissan,Frontier,2016,regular unleaded,261,6,AUTOMATIC,rear wheel drive,4,Mid-Size Pickup,Compact,Crew Cab Pickup,22,16,2009,24960
Mazda,CX-5,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,32,25,586,24965
Dodge,Nitro,2011,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Crossover,Midsize,4dr SUV,21,15,1851,24985
Chevrolet,Colorado,2016,regular unleaded,200,4,AUTOMATIC,rear wheel drive,4,Mid-Size Pickup,Compact,Crew Cab Pickup,27,20,1385,24990
Mazda,CX-3,2016,regular unleaded,146,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,35,29,586,24990
Mazda,CX-3,2017,regular unleaded,146,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,34,29,586,24990
Nissan,Xterra,2013,regular unleaded,261,6,AUTOMATIC,four wheel drive,4,SUV,Midsize,4dr SUV,20,15,2009,24990
FIAT,124 Spider,2017,premium unleaded,160,4,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,35,26,819,24995
Mazda,6,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,38,26,586,24995
Volkswagen,Golf GTI,2016,premium unleaded,210,4,MANUAL,front wheel drive,2,Performance,Compact,2dr Hatchback,34,25,873,24995
Volkswagen,Golf GTI,2017,premium unleaded,210,4,MANUAL,front wheel drive,2,Performance,Compact,2dr Hatchback,34,24,873,24995
Volkswagen,Golf SportWagen,2016,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,Wagon,35,25,873,24995
Volkswagen,Jetta Hybrid,2013,premium unleaded,170,4,AUTOMATED_MANUAL,front wheel drive,4,Hybrid,Midsize,Sedan,48,42,873,24995
Volkswagen,Jetta,2017,premium unleaded,170,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,35,25,873,24995
Subaru,Outback,2016,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,24995
Mitsubishi,Outlander Sport,2015,regular unleaded,168,4,AUTOMATIC,four wheel drive,4,Crossover,Compact,4dr SUV,26,23,436,24995
Mitsubishi,Outlander,2016,regular unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,31,25,436,24995
Mitsubishi,Outlander,2016,regular unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,31,25,436,24995
Mitsubishi,Outlander,2017,regular unleaded,166,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,29,24,436,24995
Volkswagen,Tiguan,2017,premium unleaded,200,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,24,20,873,24995
Chevrolet,Malibu,2016,regular unleaded,160,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,37,27,1385,25020
Buick,Verano,2015,regular unleaded,180,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,32,21,155,25020
Honda,Accord,2015,regular unleaded,185,4,MANUAL,front wheel drive,4,Midsize,Midsize,Sedan,34,24,2202,25030
Chevrolet,Trax,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,34,26,1385,25030
Mazda,3,2015,regular unleaded,184,4,MANUAL,front wheel drive,4,Performance,Compact,Sedan,37,25,586,25045
Honda,CR-V,2016,regular unleaded,185,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,31,25,2202,25045
Volkswagen,Jetta GLI,2013,premium unleaded,200,4,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,32,24,873,25045
Volkswagen,Jetta GLI,2013,premium unleaded,200,4,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,32,24,873,25045
Ford,Ranger,2011,regular unleaded,207,6,MANUAL,four wheel drive,4,Mid-Size Pickup,Compact,Extended Cab Pickup,19,15,5657,25060
Toyota,Tacoma,2015,regular unleaded,236,6,AUTOMATIC,rear wheel drive,4,Mid-Size Pickup,Compact,Crew Cab Pickup,21,17,2031,25060
Honda,Accord,2016,regular unleaded,189,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,35,26,2202,25065
Dodge,Ram Pickup 1500,2010,flex-fuel,310,8,AUTOMATIC,four wheel drive,2,Full-Size Pickup,Large,Regular Cab Pickup,18,13,1851,25065
Toyota,RAV4,2015,regular unleaded,176,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,29,22,2031,25080
Honda,CR-Z,2016,regular unleaded,130,4,AUTOMATIC,front wheel drive,2,Hybrid,Compact,2dr Hatchback,39,36,2202,25090
Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,25095
Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,25095
Subaru,Crosstrek,2016,regular unleaded,148,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,34,26,640,25095
Subaru,Forester,2015,regular unleaded,170,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,32,24,640,25095
Dodge,Grand Caravan,2016,flex-fuel,283,6,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Passenger Minivan,25,17,1851,25095
Volkswagen,GTI,2012,premium unleaded,200,4,AUTOMATED_MANUAL,front wheel drive,2,Performance,Compact,2dr Hatchback,33,24,873,25095
Volkswagen,GTI,2012,premium unleaded,200,4,AUTOMATED_MANUAL,front wheel drive,2,Performance,Compact,2dr Hatchback,33,24,873,25095
Volkswagen,GTI,2013,premium unleaded,200,4,MANUAL,front wheel drive,4,Performance,Compact,4dr Hatchback,31,21,873,25095
Volkswagen,GTI,2013,premium unleaded,200,4,MANUAL,front wheel drive,4,Performance,Compact,4dr Hatchback,31,21,873,25095
Volkswagen,GTI,2014,premium unleaded,200,4,MANUAL,front wheel drive,4,Performance,Compact,4dr Hatchback,31,21,873,25095
Suzuki,Kizashi,2012,regular unleaded,185,4,MANUAL,front wheel drive,4,Midsize,Midsize,Sedan,29,20,481,25099
Ford,Escape,2017,regular unleaded,181,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,30,23,5657,25100
Kia,Sorento,2016,regular unleaded,185,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,29,21,1720,25100
Chevrolet,Spark EV,2016,electric,140,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,109,128,1385,25120
Suzuki,Equator,2010,regular unleaded,261,6,AUTOMATIC,rear wheel drive,4,Mid-Size Pickup,Compact,Crew Cab Pickup,20,15,481,25125
Chevrolet,Malibu,2017,regular unleaded,160,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,36,27,1385,25125
FIAT,500X,2016,regular unleaded,180,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,31,22,819,25135
FIAT,500X,2017,regular unleaded,180,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,30,22,819,25135
Kia,Optima,2016,regular unleaded,185,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,35,24,1720,25140
Chevrolet,Camaro,2015,regular unleaded,323,6,AUTOMATIC,rear wheel drive,2,Midsize,Midsize,Coupe,30,19,1385,25145
Chevrolet,Captiva Sport,2014,flex-fuel,180,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,28,20,1385,25145
Chevrolet,Captiva Sport,2015,flex-fuel,180,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,28,20,1385,25155
Dodge,Ram Pickup 1500,2010,flex-fuel,310,8,AUTOMATIC,rear wheel drive,2,Full-Size Pickup,Large,Regular Cab Pickup,19,14,1851,25155
Toyota,Prius,2017,regular unleaded,121,4,AUTOMATIC,front wheel drive,4,Hybrid,Compact,4dr Hatchback,53,58,2031,25165
Chrysler,200,2015,flex-fuel,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,25170
Volkswagen,Beetle Convertible,2014,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Compact,Compact,Convertible,32,24,873,25170
Volkswagen,Beetle Convertible,2014,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Compact,Compact,Convertible,32,24,873,25170
Volkswagen,Beetle Convertible,2014,regular unleaded,170,5,AUTOMATIC,front wheel drive,2,Compact,Compact,Convertible,27,21,873,25170
Volkswagen,Beetle Convertible,2014,regular unleaded,170,5,AUTOMATIC,front wheel drive,2,Compact,Compact,Convertible,27,21,873,25170
Chevrolet,Colorado,2015,regular unleaded,200,4,AUTOMATIC,rear wheel drive,4,Mid-Size Pickup,Compact,Extended Cab Pickup,27,20,1385,25170
Nissan,Rogue,2017,regular unleaded,170,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,32,25,2009,25170
Chevrolet,Spark EV,2015,electric,140,0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,109,128,1385,25170
Volkswagen,Jetta,2015,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,Diesel,Midsize,Sedan,45,31,873,25175
Toyota,Tacoma,2016,regular unleaded,159,4,MANUAL,four wheel drive,4,Mid-Size Pickup,Compact,Extended Cab Pickup,21,19,2031,25185
Ford,Transit Connect,2015,regular unleaded,169,4,AUTOMATIC,front wheel drive,4,Compact Mini Van,Compact,Passenger Minivan,28,20,5657,25185
Ford,Transit Connect,2015,regular unleaded,169,4,AUTOMATIC,front wheel drive,4,Compact Mini Van,Compact,Passenger Minivan,28,20,5657,25185
Subaru,Crosstrek,2017,regular unleaded,148,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,33,26,640,25195
Dodge,Journey,2015,regular unleaded,173,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,26,19,1851,25195
Subaru,Outback,2015,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,25195
Nissan,Frontier,2017,regular unleaded,261,6,AUTOMATIC,rear wheel drive,4,Mid-Size Pickup,Compact,Extended Cab Pickup,23,16,2009,25200
Ford,Transit Connect,2016,regular unleaded,169,4,AUTOMATIC,front wheel drive,4,Cargo Van,Compact,Cargo Minivan,29,21,5657,25200
Ford,Transit Connect,2016,regular unleaded,169,4,AUTOMATIC,front wheel drive,4,Cargo Van,Compact,Cargo Minivan,29,21,5657,25200
Hyundai,Tucson,2015,regular unleaded,180,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,25,20,1439,25200
Hyundai,Tucson,2015,regular unleaded,182,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,25,20,1439,25200
GMC,Canyon,2015,regular unleaded,200,4,AUTOMATIC,rear wheel drive,4,Mid-Size Pickup,Compact,Crew Cab Pickup,27,20,549,25205
Chevrolet,Equinox,2016,regular unleaded,182,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,32,22,1385,25210
Honda,Accord,2017,regular unleaded,189,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,34,26,2202,25215
Mazda,CX-5,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,33,26,586,25215
Mazda,CX-5,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,33,26,586,25215
Honda,CR-V,2014,regular unleaded,185,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,31,23,2202,25220
Volkswagen,Golf,2016,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,25,873,25225
Chevrolet,Trax,2016,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,34,26,1385,25230
FIAT,500X,2016,regular unleaded,180,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,21,819,25235
FIAT,500X,2017,regular unleaded,180,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,29,21,819,25235
Nissan,Juke,2015,premium unleaded,188,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr Hatchback,32,28,2009,25240
Nissan,Juke,2016,premium unleaded,188,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr Hatchback,32,28,2009,25240
Nissan,Juke,2017,premium unleaded,188,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr Hatchback,32,28,2009,25240
Toyota,RAV4,2015,regular unleaded,176,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,31,24,2031,25240
Nissan,Rogue,2017,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,33,26,2009,25240
Mazda,6,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,35,26,586,25245
Dodge,Grand Caravan,2015,flex-fuel,283,6,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Passenger Minivan,25,17,1851,25245
Suzuki,Grand Vitara,2012,regular unleaded,166,4,AUTOMATIC,four wheel drive,4,Crossover,Compact,4dr SUV,23,19,481,25249
Suzuki,Kizashi,2012,regular unleaded,180,4,AUTOMATIC,all wheel drive,4,Midsize,Midsize,Sedan,29,22,481,25249
Volkswagen,Jetta GLI,2013,premium unleaded,210,4,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,32,24,873,25270
Volkswagen,Jetta GLI,2013,premium unleaded,210,4,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,32,24,873,25270
Suzuki,Equator,2011,regular unleaded,261,6,AUTOMATIC,rear wheel drive,4,Mid-Size Pickup,Compact,Crew Cab Pickup,20,15,481,25279
Subaru,Forester,2016,regular unleaded,170,4,MANUAL,all wheel drive,4,Crossover,Midsize,4dr SUV,29,22,640,25295
Subaru,Outback,2016,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,25295
Honda,Civic,2017,regular unleaded,174,4,AUTOMATIC,front wheel drive,4,Performance,Compact,4dr Hatchback,40,31,2202,25300
Volkswagen,GTI,2013,premium unleaded,200,4,AUTOMATED_MANUAL,front wheel drive,2,Performance,Compact,2dr Hatchback,33,24,873,25300
Volkswagen,GTI,2013,premium unleaded,200,4,AUTOMATED_MANUAL,front wheel drive,2,Performance,Compact,2dr Hatchback,33,24,873,25300
Ford,Mustang,2015,premium unleaded,310,4,MANUAL,rear wheel drive,2,High-Performance,Midsize,Coupe,31,22,5657,25300
Kia,Sportage,2015,regular unleaded,182,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,28,21,1720,25300
Ford,Transit Connect,2016,regular unleaded,169,4,AUTOMATIC,front wheel drive,4,Compact Mini Van,Compact,Passenger Minivan,28,20,5657,25300
Ford,Transit Connect,2016,regular unleaded,169,4,AUTOMATIC,front wheel drive,4,Compact Mini Van,Compact,Passenger Minivan,28,20,5657,25300
Nissan,Xterra,2014,regular unleaded,261,6,AUTOMATIC,rear wheel drive,4,SUV,Midsize,4dr SUV,22,16,2009,25300
GMC,Canyon,2012,regular unleaded,242,5,AUTOMATIC,four wheel drive,2,Mid-Size Pickup,Compact,Regular Cab Pickup,23,17,549,25305
Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Mid-Size Pickup,Compact,Crew Cab Pickup,20,15,1851,25305
Scion,FR-S,2016,premium unleaded,200,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,30,22,105,25305
Volkswagen,Beetle,2015,diesel,150,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,41,31,873,25330
Mazda,Tribute,2010,regular unleaded,171,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,26,20,586,25345
Nissan,Frontier,2015,regular unleaded,261,6,AUTOMATIC,rear wheel drive,4,Mid-Size Pickup,Compact,Crew Cab Pickup,22,16,2009,25350
Hyundai,Santa Fe Sport,2017,regular unleaded,190,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,21,1439,25350
Kia,Sportage,2016,regular unleaded,182,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,28,21,1720,25350
Dodge,Ram Pickup 1500,2010,flex-fuel,310,8,AUTOMATIC,four wheel drive,2,Full-Size Pickup,Large,Regular Cab Pickup,18,13,1851,25365
Volkswagen,Jetta,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,37,25,873,25380
Volkswagen,Jetta,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,37,25,873,25380
Volkswagen,Jetta,2016,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,36,25,873,25380
Volkswagen,Jetta,2016,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,36,25,873,25380
Volkswagen,Golf GTI,2015,premium unleaded,210,4,MANUAL,front wheel drive,4,Performance,Compact,4dr Hatchback,34,25,873,25385
Mazda,3,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Performance,Compact,4dr Hatchback,37,27,586,25395
Subaru,BRZ,2016,premium unleaded,200,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,30,22,640,25395
Mitsubishi,Outlander Sport,2016,regular unleaded,168,4,AUTOMATIC,four wheel drive,4,Crossover,Compact,4dr SUV,27,22,436,25395
Nissan,Frontier,2015,regular unleaded,261,6,MANUAL,four wheel drive,4,Mid-Size Pickup,Compact,Crew Cab Pickup,21,16,2009,25400
Kia,Sorento,2017,regular unleaded,185,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,28,21,1720,25400
Honda,Accord,2017,regular unleaded,189,4,MANUAL,front wheel drive,4,Midsize,Midsize,Sedan,32,23,2202,25415
Ford,Transit Connect,2017,flex-fuel,169,4,AUTOMATIC,front wheel drive,4,Cargo Van,Compact,Cargo Minivan,27,20,5657,25425
Ford,Transit Connect,2017,flex-fuel,169,4,AUTOMATIC,front wheel drive,4,Cargo Van,Compact,Cargo Minivan,27,20,5657,25425
Nissan,Xterra,2014,regular unleaded,261,6,AUTOMATIC,four wheel drive,4,SUV,Midsize,4dr SUV,20,15,2009,25440
Mazda,3,2016,regular unleaded,184,4,MANUAL,front wheel drive,4,Performance,Compact,4dr Hatchback,35,26,586,25445
Honda,Accord,2015,regular unleaded,185,4,MANUAL,front wheel drive,2,Midsize,Midsize,Coupe,34,24,2202,25450
Volkswagen,Beetle,2015,premium unleaded,210,4,MANUAL,front wheel drive,2,Performance,Compact,2dr Hatchback,31,23,873,25450
Volkswagen,Beetle,2015,premium unleaded,210,4,MANUAL,front wheel drive,2,Performance,Compact,2dr Hatchback,31,23,873,25450
Nissan,Altima,2016,regular unleaded,182,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,39,27,2009,25460
Nissan,Altima,2017,regular unleaded,179,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,39,27,2009,25460
Chevrolet,Malibu,2015,regular unleaded,196,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,36,25,1385,25470
Volkswagen,Beetle Convertible,2016,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Compact,Compact,Convertible,34,25,873,25490
Volkswagen,Beetle Convertible,2016,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Compact,Compact,Convertible,34,25,873,25490
Mazda,3,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Performance,Compact,4dr Hatchback,37,27,586,25495
Subaru,BRZ,2017,premium unleaded,205,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,29,21,640,25495
Subaru,Forester,2017,regular unleaded,170,4,MANUAL,all wheel drive,4,Crossover,Midsize,4dr SUV,28,22,640,25495
Mitsubishi,Outlander,2017,regular unleaded,166,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,30,25,436,25495
Volkswagen,Passat,2017,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Midsize,Midsize,Sedan,34,23,873,25495
Mazda,Tribute,2011,regular unleaded,171,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,26,20,586,25495
Suzuki,Kizashi,2011,regular unleaded,180,4,AUTOMATIC,all wheel drive,4,Midsize,Midsize,Sedan,29,22,481,25499
